m;b;a;n;k;3;.;j;p;g
0.345679012345679;0.07133058984910837;0.006604684245287812;0.0017273789564598893;0.012040847431793934;5.863230142835039;8.594366926962348;;;
;;;;;;;;;
0.17777777777777778;0.007901234567901235;0.0;0.0;0.005925925925925926;4.370193722368317;4.7746482927568605;;;
;;;;;;;;;
0.26972911014059575;0.042721011098754126;0.0005181046063644035;6.218352313082182e-05;0.007508195439620879;7.225151993843567;13.050705333535419;;;
;;;;;;;;;
0.14814814814814814;0.0;0.0;0.0;0.0054869684499314125;3.385137501286538;2.864788975654116;;;
;;;;;;;;;
0.21913600000000003;0.008923447296000003;0.0054743885949173655;0.0008428338555125716;0.009774284800000001;5.641895835477563;7.957747154594767;;;
;;;;;;;;;
0.19051532834716858;0.007891761976719031;0.0009619502483441115;6.448453842088908e-05;0.007101082089627608;5.4115163798060095;7.321127382227186;;;
;;;;;;;;;
0.16820987654320985;0.002955437433318095;0.00038221552345414145;5.880238822367511e-06;0.006334781283340951;4.787307364817192;5.729577951308232;;;
;;;;;;;;;
0.14814814814814814;0.0;0.0;0.0;0.0054869684499314125;3.385137501286538;2.864788975654116;;;
;;;;;;;;;
0.14814814814814814;0.0;0.0;0.0;0.0054869684499314125;3.385137501286538;2.864788975654116;;;
;;;;;;;;;
0.2187359999999998;0.01696382489599996;0.0010991312320757641;0.00027216050895254794;0.007720403199999989;7.978845608028654;15.915494309189533;;;
;;;;;;;;;
0.1597222222222222;0.00236304012345679;0.0;0.0;0.005787037037037037;3.9088200952233594;3.819718634205488;;;
;;;;;;;;;
0.14814814814814814;0.0;0.0;0.0;0.0054869684499314125;3.385137501286538;2.864788975654116;;;
;;;;;;;;;
0.1597222222222222;0.00236304012345679;0.0;0.0;0.005787037037037037;3.9088200952233594;3.819718634205488;;;
;;;;;;;;;
0.1597222222222222;0.00236304012345679;0.0;0.0;0.005787037037037037;3.9088200952233594;3.819718634205488;;;
;;;;;;;;;
0.17924096936442613;0.00556056290559274;0.0003760723871992962;1.0119161174179547e-05;0.006641690548276603;5.863230142835039;8.594366926962348;;;
;;;;;;;;;
0.1597222222222222;0.00236304012345679;0.0;0.0;0.005787037037037037;3.9088200952233594;3.819718634205488;;;
;;;;;;;;;
0.30818245407543843;0.027474183239677097;0.005014633898627431;0.00041079846220818544;0.01687556044007065;29.51094455619561;217.72396214971283;;;K
