m;b;a;n;k;3;.;j;p;g
;;;;;;;;;
0.24260566309053352;0.013820845506587453;0.0020294800006497244;0.0002107611470779824;0.011259165564252504;49.404455338130255;610.2000518143267;;;K
;;;;;;;;;
0.20355501319331873;0.0037442756477857105;0.00020736203935116753;1.0264745159512384e-05;0.009422591937086612;56.02263362045894;784.6338694430441;;;B
;;;;;;;;;
0.287829565654477;0.015804507862683063;0.0002834770627793012;0.00013346929726118777;0.016760337750540453;53.68998350977963;720.6535823201021;;;M
;;;;;;;;;
0.19452188246297997;0.001366169810991401;0.0005241785949022411;4.080297412817583e-07;0.009118148236487498;45.654059345598846;521.0732836828654;;;A
;;;;;;;;;
0.24556773552757627;0.000747842538637115;4.384442892225534e-05;0.00011517894422909968;0.014888917548376132;43.687367482580235;477.14651938950226;;;N
;;;;;;;;;
0.17777777777777778;0.007901234567901235;0.0;0.0;0.005925925925925926;4.370193722368317;4.7746482927568605;;;
;;;;;;;;;
0.1597222222222222;0.00236304012345679;0.0;0.0;0.005787037037037037;3.9088200952233594;3.819718634205488;;;
;;;;;;;;;
15.137558190394818;229.09478248409343;24.300356136082332;24.190994994510355;0.012721370873962313;16.07692842495848;64.61690689530951;;;
;;;;;;;;;
0.30439814814814814;0.07127834576474625;0.0024690973512202074;0.0011927639512050153;0.005344971707818931;3.9088200952233594;3.819718634205488;;;
m;b;a;n;k;2;.;j;p;g
;;;;;;;;;
0.49276203550487235;0.09048255921513677;0.08211124786805403;0.04326906862495999;0.03808296610494207;18.847647942942654;88.8084582452776;;;
;;;;;;;;;
0.2222222222222222;0.04938271604938271;0.0;0.0;0.0;1.9544100476116797;0.954929658551372;;;
;;;;;;;;;
0.2222222222222222;0.04938271604938271;0.0;0.0;0.0;1.9544100476116797;0.954929658551372;;;
;;;;;;;;;
0.3125;0.09765625;0.0;0.0;0.0;2.256758334191025;1.2732395447351628;;;
;;;;;;;;;
0.41469196676452874;0.10800923905256704;0.018108803420992067;0.010002705621890906;0.015990047061616487;9.23618154310838;21.326762374313976;;;
;;;;;;;;;
0.1527777777777778;0.004822530864197531;0.0;0.0;0.004629629629629629;2.763953195770684;1.909859317102744;;;
;;;;;;;;;
1.1223998467912493;1.1991123298946487;0.01857208467731556;0.005055432331607419;0.015167271545592938;28.456639830653998;202.4450876128909;;;
;;;;;;;;;
0.14814814814814814;0.0;0.0;0.0;0.0054869684499314125;3.385137501286538;2.864788975654116;;;
;;;;;;;;;
